User,Activity Type,Day Start ,Date Start,Time Start,Distance,Time,Avg Speed(Avg Pace),Max Speed(Best Pace),Elevation Gain,Calories,Avg HR,Max HR
A,Running,Thu,21 Apr 2016 ,6:33 PM,4.34,1.585416667,0.365277778,0.211111111,80,507,NA,NA
A,Running,Thu,14 Apr 2016 ,6:32 PM,5.44,2.244444444,0.413194444,0.216666667,151,631,NA,NA
A,Running,Thu,7 Apr 2016 ,6:32 PM,5.54,2.180555556,0.393055556,0.234722222,79,645,NA,NA
A,Running,Thu,31 Mar 2016 ,5:36 PM,1.41,0.558333333,0.395138889,0.334722222,24,168,NA,NA
A,Running,Tue,15 Mar 2016 ,1:03 PM,1.02,0.278472222,0.272916667,0.311111111,6,86,NA,NA
A,Running,Tue,15 Mar 2016 ,12:34 PM,1.8,0.65625,0.364583333,0.272222222,9,203,NA,NA
A,Running,Thu,10 Mar 2016 ,6:33 PM,7.12,0.04900463,0.413194444,0.188888889,188,821,NA,NA
A,Running,Thu,3 Mar 2016 ,6:42 PM,3.67,2.09375,0.570138889,0.158333333,69,402,NA,NA
A,Running,Thu,25 Feb 2016 ,6:36 PM,5.22,1.890277778,0.361805556,0.18125,114,617,NA,NA
A,Running,Thu,25 Feb 2016 ,5:39 PM,1.69,0.65625,0.388888889,0.285416667,26,200,NA,NA
A,Running,Thu,18 Feb 2016 ,6:34 PM,7.35,0.050300926,0.410416667,0.136111111,113,849,NA,NA
A,Running,Thu,11 Feb 2016 ,6:32 PM,7.61,0.05818287,0.459027778,0.169444444,300,843,NA,NA
A,Running,Sat,6 Feb 2016 ,10:13 PM,1.28,1.13125,0.886111111,0.696527778,174,106,NA,NA
A,Running,Thu,4 Feb 2016 ,8:13 PM,1.56,0.690972222,0.44375,0.193055556,42,159,NA,NA
A,Running,Thu,4 Feb 2016 ,6:33 PM,5.61,0.04681713,0.500694444,0.178472222,61,604,NA,NA
A,Running,Thu,4 Feb 2016 ,5:35 PM,1.67,0.715972222,0.429166667,0.352083333,26,184,NA,NA
A,Running,Thu,28 Jan 2016 ,6:40 PM,5.89,0.04181713,0.426388889,0.166666667,82,668,NA,NA
A,Running,Thu,28 Jan 2016 ,5:12 PM,1.64,0.727777778,0.445138889,0.309027778,29,188,NA,NA
A,Running,Thu,21 Jan 2016 ,6:32 PM,6.16,0.041979167,0.409027778,0.31875,59,705,NA,NA
A,Running,Thu,21 Jan 2016 ,5:45 PM,1.69,0.73125,0.432638889,0.349305556,25,187,NA,NA
A,Running,Tue,19 Jan 2016 ,1:58 PM,1.95,0.797916667,0.410416667,0.297916667,58,221,NA,NA
A,Running,Tue,19 Jan 2016 ,1:07 PM,0.33,0.147916667,0.442361111,0.357638889,1,39,NA,NA
A,Running,Tue,19 Jan 2016 ,12:37 PM,2.1,0.840972222,0.4,0.310416667,10,223,NA,NA
A,Running,Thu,14 Jan 2016 ,6:33 PM,5.06,1.918055556,0.379166667,0.204166667,227,578,NA,NA
A,Running,Thu,14 Jan 2016 ,5:35 PM,1.66,0.696527778,0.41875,0.335416667,29,188,NA,NA
A,Running,Thu,7 Jan 2016 ,6:33 PM,5.46,2.277777778,0.417361111,0.305555556,69,635,NA,NA
A,Running,Thu,7 Jan 2016 ,5:29 PM,1.65,0.627777778,0.379861111,0.265277778,27,191,NA,NA
A,Running,Sun,3 Jan 2016 ,10:15 AM,2.12,0.954166667,0.450694444,0.326388889,195,230,NA,NA
A,Hiking,Fri,1 Jan 2016 ,1:18 PM,1.96,1.8625,0.951388889,0.501388889,30,163,NA,NA
A,Hiking,Fri,1 Jan 2016 ,10:30 AM,4.09,0.068819444,1.010416667,0.367361111,220,331,NA,NA
A,Trail Running,Thu,31 Dec 2015 ,10:17 AM,2.25,2.378472222,1.05625,0.244444444,183,173,NA,NA
A,Hiking,Wed,30 Dec 2015 ,3:20 PM,1.12,1.361805556,1.220138889,0.602083333,125,78,NA,NA
B,Running,Thu,"Mar 26, 2015 ",7:18 PM,7.12,1.297222222,0.181944444,0.120138889,165,444,86,96
B,Running,Thu,"Mar 26, 2015 ",6:55 PM,1.87,0.451388889,0.240972222,0.161805556,55,82,75,94
B,Running,Wed,"Mar 25, 2015 ",8:26 PM,2.11,0.445138889,0.211111111,0.173611111,NA,121,72,77
B,Running,Wed,"Mar 25, 2015 ",6:44 PM,3.69,0.745833333,0.202083333,0.061805556,77,241,80,88
B,Running,Sun,"Mar 22, 2015 ",7:57 AM,8.45,2.146527778,0.254166667,0.161805556,200,582,NA,NA
B,Running,Sat,"Mar 21, 2015 ",9:09 AM,14.94,0.064236111,0.257638889,0.15,366,797,68,91
B,Running,Thu,"Mar 19, 2015 ",7:58 PM,1.06,0.342361111,0.322222222,0.56,10,59,59,74
B,Running,Thu,"Mar 19, 2015 ",7:28 PM,4.98,0.720833333,0.145138889,0.10625,44,278,91,97
B,Running,Thu,"Mar 19, 2015 ",6:59 PM,2.01,0.409722222,0.203472222,0.130555556,26,123,85,93
B,Running,Wed,"Mar 18, 2015 ",7:02 PM,4.16,0.894444444,0.215277778,0.134027778,21,261,72,84
B,Running,Thu,"Mar 12, 2015 ",8:03 PM,0.72,0.330555556,0.461111111,0.280555556,67,78,64,67
B,Running,Thu,"Mar 12, 2015 ",7:17 PM,8.77,1.600694444,0.182638889,0.114583333,179,559,86,97
B,Running,Thu,"Mar 12, 2015 ",6:51 PM,1.87,0.45,0.240972222,0.171527778,19,79,68,88
B,Running,Wed,"Mar 11, 2015 ",7:02 PM,4.31,0.963194444,0.222916667,0.175694444,71,295,73,89
B,Running,Thu,"May 14, 2015 ",7:22 AM,6.59,1.473611111,0.223611111,0.159722222,137,448,78,98
B,Running,Sat,"May 9, 2015 ",8:16 AM,6.7,2.009722222,0.3,0.183333333,90,478,68,96
B,Running,Sat,"May 2, 2015 ",12:38 PM,24.01,0.112060185,0.279861111,0.129166667,389,1518,71,119
B,Running,Thu,"Apr 30, 2015 ",7:27 PM,7.53,1.5,0.199305556,0.108333333,33,520,86,98
B,Running,Thu,"Apr 30, 2015 ",7:18 PM,1.37,0.310416667,0.225694444,0.140972222,33,84,81,96
B,Running,Mon,"Apr 27, 2015 ",6:20 PM,6.31,1.635416667,0.259027778,0.44,182,402,73,94
B,Running,Thu,"Apr 23, 2015 ",7:17 PM,8.52,1.763194444,0.206944444,0.109027778,109,526,82,96
B,Running,Sat,"Apr 18, 2015 ",8:47 AM,25.19,0.087118056,0.207638889,0.145138889,261,1487,78,87
B,Running,Thu,"Apr 16, 2015 ",7:23 PM,5.79,1.047222222,0.180555556,0.106944444,121,369,89,99
B,Running,Thu,"Apr 16, 2015 ",7:12 PM,1.39,0.267361111,0.192361111,0.125694444,40,79,82,89
